2025/3/21 下午 11:31:46,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/21 下午 11:31:49,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/21 下午 11:31:52,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/21 下午 11:31:52,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/21 下午 11:33:04,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/21 下午 11:33:05,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/21 下午 11:33:07,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
2025/3/21 下午 11:33:07,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/21 下午 11:37:40,使用者:MB202503210005 - C505 - 28,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:TableList,Action:Index
2025/3/21 下午 11:37:56,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:Home,Action:Index
2025/3/21 下午 11:38:04,使用者:Guest,IP::1,瀏覽器:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36,Controller:UserLogin,Action:Login
